Transaction,Award ID,Order Number,DUNS,Recipient,Recipient City,Recipient State,Recipient CD,Recipient Country,Pop State,Pop CD,Pop Country,Award Amount,Award Date,Award Type,Awarding Agency,Awarding Bureau,Funding Agency,Funding Bureau,CFDA Code,CFDA Title,Fiscal Year,Role
4EA9895C-F026-A71E-17E7-6481A0B06FE9,"HSCGG811PPLM028","N/A",060790131,"INTERNATIONAL BUSINESS MACHINES CORPORATION","Tempe                       ","AZ",09,"USA","DC",00,"USA","$6,800.00",12/02/2010,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2011,Prime
33C8DE15-D113-4470-F0DE-6A0F29F304A1,"TMHQ11P0148","N/A",111410184,"INTERNATIONAL BUSINESS MACHINES CORPORATION","Gaithersburg                ","MD",06,"USA","DC",00,"USA","$9,021.00",01/13/2011,Contracts,"Department of the Treasury","United States Mint","Department of the Treasury","United States Mint","","",2011,Prime
B25622C5-41C6-AB34-349E-A4C65BECFF79,"NNG07DA12B","INP14PD01433",835130485,"INTERNATIONAL BUSINESS MACHINES CORPORATION","BETHESDA","MD",08,"USA","MD",06,"USA","$6,183.78",06/03/2014,Contracts,"Department of the Interior ","National Park Service.","Department of the Interior ","National Park Service.","","",2014,Prime
69BD9D91-EFEB-A6B3-B943-DADBB6DEBB3E,"DOCYA132311SU0157","N/A",835130485,"INTERNATIONAL BUSINESS MACHINES CORPORATION","BETHESDA","MD",08,"USA","MD",04,"USA","$12,686.00",09/20/2011,Contracts,"Department of Commerce","Bureau of the Census","Department of Commerce","Bureau of the Census","","",2011,Prime
7562FCD5-943C-A3C0-EBE8-9366B44978F3,"W91QUZ07D0007","D845",835130485,"INTERNATIONAL BUSINESS MACHINES CORPORATION","BETHESDA","MD",08,"USA","AL",05,"USA","$80,818.45",09/04/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
DD037600-9C40-4B0E-766A-677287473071,"AID620O1500033","N/A",119259364,"INTERNATIONAL RESOURCES GROUP LTD.","Alexandria                  ","VA",08,"USA","N/A",N/A,"NGA","$53,221.09",01/29/2015,Contracts,"U.S. Agency for International Development","U.S. Agency for International Development","U.S. Agency for International Development","U.S. Agency for International Development","","",2015,Prime
096328DB-3C9C-7C99-CC9B-BC3CAF8B7F2C,"AID620O1500033","N/A",119259364,"INTERNATIONAL RESOURCES GROUP LTD.","Alexandria                  ","VA",08,"USA","N/A",N/A,"NGA","$1,858.01",03/10/2015,Contracts,"U.S. Agency for International Development","U.S. Agency for International Development","U.S. Agency for International Development","U.S. Agency for International Development","","",2015,Prime
AE45646E-4A0F-49AB-4AE8-9CEB24D74918,"DJF140100P0012341","N/A",039840884,"INTERSKILLS, LLC","Moraga                      ","CA",11,"USA","WV",01,"USA","$5,680.00",09/15/2014,Contracts,"Department of Justice","Federal Bureau of Investigation","Department of Justice","Federal Bureau of Investigation","","",2014,Prime
F5BE62B6-5F9B-A02B-E82D-A2F3F5803FE7,"INP14PX01471","N/A",843096665,"INTERTECH TRAINING & CONSULTING INC","Irvine                      ","CA",45,"USA","VA",10,"USA","$48,500.00",05/09/2014,Contracts,"Department of the Interior ","National Park Service.","Department of the Interior ","National Park Service.","","",2014,Prime
90483113-E8A7-E469-2595-06601E002A3F,"AG7245P080017","N/A",002488190,"INTERVOICE INCORPORATED","Alexandria                  ","VA",08,"USA","LA",02,"USA","$18,495.84",11/03/2007,Contracts,"Department of Agriculture","USDA, Office of the Chief Financial Officer","Department of Agriculture","USDA, Office of the Chief Financial Officer","","",2008,Prime
46B8140C-BD68-E9BD-6E97-69B3F37B382D,"GS35F0246L","AG7245D090028",117439273,"INTERVOICE, INC","Dallas                      ","TX",03,"USA","LA",02,"USA","$22,926.82",11/20/2008,Contracts,"Department of Agriculture","USDA, Office of the Chief Financial Officer","N/A","N/A","","",2009,Prime
3A23A5CD-1A77-3929-38AC-CC9482A65465,"DJFA1N104355","N/A",075132543,"INVERTIX CORPORATION","Mc Lean                     ","VA",10,"USA","DC",00,"USA","$197,928.00",06/14/2011,Contracts,"Department of Justice","Federal Bureau of Investigation","Department of Justice","Federal Bureau of Investigation","","",2011,Prime
E2CF1C5F-A200-87E3-EBD1-BE15BE940427,"TPDOIT0800003","N/A",041108205,"INVISION TECHNOLOGIES CORPORATION","Poulsbo                     ","WA",06,"USA","WV",01,"USA","$2,255.00",12/12/2007,Contracts,"Department of the Treasury","Bureau of the Public Debt","Department of the Treasury","Bureau of the Public Debt","","",2008,Prime
CB5012F7-B1AF-0167-9148-3F2E1A3C3695,"GS35F0024V","NNK09MA22D",800001141,"IONIDEA INC.","Fairfax                     ","VA",11,"USA","FL",24,"USA","$19,980.24",05/29/2009,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","N/A","N/A","","",2009,Prime
3BB2DFCB-FA09-209B-6B54-FBC978FFC27E,"W91QUZ07D0010","ZS9H",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$1,338,062.23",12/22/2011,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2012,Prime
19DC2D54-9E2E-D222-24BF-1B8A321ECE17,"W91QUZ07D0010","ZS14",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$50,064.56",06/16/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
50173254-F45E-35FB-E9EB-8FDDA044D917,"263030519","HHSN26300019",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$55,052.69",03/28/2012,Contracts,"Department of Health and Human Services","National Institutes of Health","Department of Health and Human Services","National Institutes of Health","","",2012,Prime
920CF2EB-F2C7-FCCC-EF61-F55F9C8DB9C0,"NNG07DA39B","IND12PD01806",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","DC",00,"USA","$71,098.30",09/12/2012,Contracts,"Department of the Interior ","Office of Policy, Management and Budget/Chief Financial Officer","Department of the Interior ","Office of the Secretary of the Interior","","",2012,Prime
8BB39EF9-7318-7389-8843-87F8F7BD4993,"W91QUZ07D0010","9K14",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","MN",04,"USA","$49,606.12",02/06/2012,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2012,Prime
C0184F84-A4FA-10D9-5C34-342265284EE4,"W91QUZ07D0010","2A27",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",03,"USA","$7,373.12",05/17/2012,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2012,Prime
BA4D7D69-EDA8-157A-6074-395609A1FC3A,"DTFAWA11D00003","DTFAWA11D00003CALL0247",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","DC",00,"USA","$209,356.37",08/14/2012,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2012,Prime
48E9884F-5B7B-73C6-9C98-935A220A6D1C,"263030519","HHSN26300020",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$124,620.00",06/26/2012,Contracts,"Department of Health and Human Services","National Institutes of Health","Department of Health and Human Services","National Institutes of Health","","",2012,Prime
AA773C8F-DA48-546E-F3D3-C1694C5B026F,"W91QUZ07D0010","ZS14",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$70,525.00",06/11/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
9CDE5488-8A14-C96B-C996-9B813F2B7D50,"W91QUZ07D0010","ZS07",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$104,864.00",06/06/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
C59C0E14-535A-4950-104B-A512ABF4BB7C,"W91QUZ07D0010","ZS14",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$60,294.78",08/27/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
B821A841-41F0-5B4D-1FB0-78B635BD4665,"W91QUZ07D0010","ZS07",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$30,736.00",04/02/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
5C0BB3E3-C8BA-F128-5810-68759B919597,"W91QUZ07D0010","ZS23",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$3,041,474.40",08/19/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
1BF086CC-5375-107D-5F2F-726F5EBE37DA,"W91QUZ07D0010","0G16",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$11,318.33",09/09/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
3CBC6E1A-0950-4C79-6345-BD90C86E19D2,"W91QUZ07D0010","2B01",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$57,550.00",09/24/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
06E1793D-C25C-AF90-CF52-CB02D3B5780C,"DTFAWA11D00003","DTFAWA11D00003CALL0041",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$104,109.28",07/13/2011,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2011,Prime
23688DFA-8907-A3CC-B331-0D19AD4F4B13,"DTFAWA11D00003","DTFAWA11D00003CALL0139",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$32,000.00",09/27/2011,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2011,Prime
316FBE33-A2C3-4F8A-6967-C0568744061B,"HSCG7913DPTD035","HSCGG315JPWC003",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","WV",02,"USA","$321.86",12/09/2014,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2015,Prime
FBC60770-71F5-D486-661A-319939EA8D8C,"HSCG7913DPTD035","HSCGG315JPWC036",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","WV",02,"USA","$34,272.00",12/30/2014,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2015,Prime
9C138299-B639-A1A4-03E0-1E4AE769864D,"W91QUZ07D0010","1T24",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$38,201.49",09/15/2011,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2011,Prime
5CE47B4A-8BF9-41E9-6902-592B38C7B35F,"W91QUZ07D0010","BA38",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$57,802.08",02/11/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
82644C63-1028-0847-4FEC-62387214A9EE,"HSCG7913DPTD035","HSCGG314JPWC069",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$8,870.96",09/15/2014,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2014,Prime
F4C770B7-7345-486A-D523-9E7B68284C6F,"W91QUZ07D0010","BM23",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","CA",03,"USA","$36,316.38",07/30/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
0F5F114D-1432-2960-31C8-EDFEA5E14E7F,"DTFAWA11D00003","DTFAWA11D00003CALL0499",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$25,146.25",05/29/2014,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2014,Prime
A5A2CB76-698A-1ACA-B908-78570E4830B3,"DTFAWA11D00003","DTFAWA11D00003CALL0512",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$119,953.45",06/26/2014,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2014,Prime
8DE5E1E2-B016-1D63-5ABB-E20D0C830C35,"W91QUZ07D0010","ZSL1",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$127,023.68",08/28/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
A80164AE-6195-62C2-9DF4-E1B63A87E646,"HSCG7913DPTD035","HSCGG314JPWC059",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$813,764.87",09/18/2014,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2014,Prime
BC0EF57E-3E04-B8FD-424C-7ED1A7B0EC60,"NNG07DA31B","VA26314F1328",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","NE",02,"USA","$8,437.80",09/08/2014,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","Department of Veterans Affairs","Department of Veterans Affairs","","",2014,Prime
AEE8971D-7713-43A2-9815-61C77A422F18,"DTFAWA11D00003","DTFAWA11D00003CALL0509",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$186,470.11",06/24/2014,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2014,Prime
3D02222F-AD4C-A4E8-DDA8-8DFE50AD8FD6,"HSCG7913DPTD035","HSCGG314JPWC030",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","WV",02,"USA","$208,580.35",09/17/2014,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2014,Prime
FF909F56-4E29-0519-74BF-BA5CB26FC428,"W91QUZ07D0010","2ER8",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$18,315.36",09/26/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
200421FF-581C-96E5-F351-5C1B27754E8D,"W91QUZ07D0010","2F17",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","MO",04,"USA","$16,375.49",04/30/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
B68EA180-7B63-93E1-54F4-9E9D05EEE282,"W91QUZ07D0010","2T56",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$57,269.25",09/26/2013,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2013,Prime
99B5E19D-3D2F-EF9C-87EC-E77596AFADA5,"W91QUZ07D0010","DP27",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","PA",04,"USA","$59,152.56",09/27/2013,Contracts,"Department of Defense","Washington Headquarters Services","Department of Defense","Washington Headquarters Services","","",2013,Prime
95EA92E0-F7BF-431A-E6C0-79FE47F9F3D8,"HSCG7913DPTD035","HSCGG313JPWC015",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","WV",02,"USA","$304,626.96",09/18/2013,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2013,Prime
6FEE59DF-A4E3-51B7-F699-E18AA44A03F8,"W91QUZ07D0010","D201",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$19,339.83",08/07/2013,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2013,Prime
609CBE95-B943-15C3-E502-F193C56F65E4,"W91QUZ07D0010","BAG7",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$29,875.71",09/26/2013,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2013,Prime
5EA89A8C-B144-BB7F-5457-FFBD2B249C1C,"DTFAWA11D00003","DTFAWA11D00003CALL0361",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$79,479.44",06/11/2013,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2013,Prime
B2B79C3D-F1CA-D918-676C-1D201A64BE19,"W91QUZ07D0010","2F11",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","MO",04,"USA","$15,693.18",04/08/2013,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2013,Prime
48CD94B4-DEA4-10F2-1132-D31FB9ADAA4C,"DTFAWA11D00003","DTFAWA11D00003CALL0407",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$113,497.02",08/15/2013,Contracts,"Department of Transportation","Federal Aviation Administration","Department of Transportation","Federal Aviation Administration","","",2013,Prime
F709F207-7E3F-E4EE-935E-1AB1BC36824F,"W91QUZ07D0010","0EE5",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$4,665.84",08/13/2013,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2013,Prime
D6D22F93-4BD0-A82B-93B9-E8DB4FDDC017,"263030519","HHSN26300028",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$47,526.45",06/28/2013,Contracts,"Department of Health and Human Services","National Institutes of Health","Department of Health and Human Services","National Institutes of Health","","",2013,Prime
A3A1FBBC-9224-4C49-ADFA-170D4079AB03,"DTFAWA11D00003","DTNH2215F00041",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","DC",00,"USA","$162,146.88",06/11/2015,Contracts,"Department of Transportation","National Highway Traffic Safety Administration","Department of Transportation","National Highway Traffic Safety Administration","","",2015,Prime
12E155D4-286B-4828-80F3-4F1343B057F5,"DTFAWA11D00003","DTFH7015F00048",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","WA",03,"USA","$46,917.71",07/08/2015,Contracts,"Department of Transportation","Federal Highway Administration","Department of Transportation","Federal Highway Administration","","",2015,Prime
CA75EDBE-55B9-46FD-AE52-F312ADE41445,"W91QUZ07D0010","BM23",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","CA",03,"USA","$4,434.97",04/13/2015,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2015,Prime
C3F87F1F-608B-44E0-B787-C031600B36D0,"HSCG7913DPTD035","HSCGG315JPWC089",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",10,"USA","$3,672.00",07/17/2015,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2015,Prime
61B5D52F-3D55-47AB-A292-C7F0C67F7244,"W91QUZ07D0010","BM23",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","CA",03,"USA","$36,316.38",04/02/2015,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2015,Prime
F5B7B689-FC46-4CA6-BC2A-88D063BFAAC3,"DTFAWA11D00003","DTFH7015F00058",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","WA",03,"USA","$7,704.32",08/06/2015,Contracts,"Department of Transportation","Federal Highway Administration","Department of Transportation","Federal Highway Administration","","",2015,Prime
3BA236DE-F570-489F-AD27-AF4C88209E56,"W911S015P0021","N/A",827714507,"IRON BOW TECHNOLOGIES, LLC","Chantilly                   ","VA",10,"USA","VA",01,"USA","$7,893.45",03/12/2015,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2015,Prime
77607841-E7A0-41E1-AF0D-185EF75991C4,"5004323207","0002",806379025,"ISKON SYSTEMS LLC","Damascus                    ","MD",06,"USA","VA",11,"USA","$106,600.00",06/12/2013,Others,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2013,Sub
4725D8F2-C36C-583F-6707-28122722E8FF,"FA701408P0112","N/A",787072342,"ISOLUTIONS, LLC","Brookhaven                  ","GA",06,"USA","VA",08,"USA","$213,325.82",08/26/2008,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2008,Prime
6DD7B291-8281-769A-C906-CE20AF9E04AD,"N0010408MQ980","N/A",123802717,"IT XCHANGE CORP.","Morrisville                 ","NC",04,"USA","NC",04,"USA","$75,826.00",09/17/2008,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2008,Prime
7E33BF2B-FC08-8213-213F-528E6A4C7583,"V538P81036","N/A",874319080,"IVES GROUP, INC, THE","Delaware                    ","OH",12,"USA","OH",07,"USA","$3.74",05/13/2008,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
CEEACB0F-F71E-2B07-116D-ECB37751139F,"V538P87691","N/A",874319080,"IVES GROUP, INC, THE","Delaware                    ","OH",12,"USA","OH",07,"USA","$68.44",02/21/2008,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
E09428A8-F643-0C4C-8043-70FCE29824F9,"AG64WCP080048","N/A",106714413,"J W LAMPI INC","Minneapolis                 ","MN",05,"USA","MO",05,"USA","$10,000.00",09/04/2008,Contracts,"Department of Agriculture","USDA, Office of the Chief Financial Officer","Department of Agriculture","USDA, Office of the Chief Information Officer","","",2008,Prime
62D7EC83-1683-99DD-4C67-8186EEE8CEA4,"NNX10CE77P","N/A",806890807,"JABIRU SOFTWARE AND SERVICES, LLC","West Lafayette              ","IN",04,"USA","IN",04,"USA","$99,900.00",01/26/2010,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2010,Prime
A313353E-44A7-1A7E-15FA-7D7AEF331A32,"TFMSHQ10P0098","N/A",619478738,"JACK MORTON WORLDWIDE INC","Norwalk                     ","CT",04,"USA","MD",04,"USA","$8,125.00",04/15/2010,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2010,Prime
D05F1605-417A-E883-5FC7-9822C262061D,"HE125408P0057","N/A",619478738,"JACK MORTON WORLDWIDE INC","Norwalk                     ","CT",04,"USA","VA",08,"USA","$16,500.00",09/05/2008,Contracts,"Department of Defense","Department of Defense Education Activity","Department of Defense","Department of Defense Education Activity","","",2008,Prime
C073392F-8032-7843-4E8C-D3DB3A6C86C3,"FA810115P0002","N/A",007923014,"JACOBS TECHNOLOGY INC.","Tullahoma                   ","TN",06,"USA","TN",06,"USA","$31,038.91",10/16/2014,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2015,Prime
FE770F60-8EB9-BDAC-C3E0-C6FD99FA9A22,"NNG07DA10B","NNK10EA18D",796477222,"JAMES RIVER TECHNICAL INCORPORATED","Glen Allen                  ","VA",07,"USA","VA",07,"USA","$5,359.16",02/11/2010,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2010,Prime
E09BD850-27F1-2B5E-757B-E32C51A41DD0,"HHSN276200900165P","N/A",796477222,"JAMES RIVER TECHNICAL, INC.","Glen Allen                  ","VA",07,"USA","MD",08,"USA","$5,700.00",12/19/2008,Contracts,"Department of Health and Human Services","National Institutes of Health","N/A","N/A","","",2009,Prime
4BB10785-A9A0-C4CE-D07C-F75A7AA1D6C5,"DOCFC133E14SE2433","N/A",840477207,"JASPER GROUP, THE","Highland Beach              ","FL",22,"USA","NC",10,"USA","$174,144.00",02/28/2014,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","Department of Commerce","National Oceanic and Atmospheric Administration","","",2014,Prime
958F44ED-CD12-E014-AAAD-91CD96EC24ED,"GS35F0400T","ING12PD01022",796555589,"JC TECHNOLOGY INCORPORATED","Arlington Heights           ","IL",09,"USA","IL",09,"USA","$47,960.00",09/06/2012,Contracts,"Department of the Interior ","Geological Survey","Department of the Interior ","Geological Survey","","",2012,Prime
2B44907B-EFDA-8658-3C74-B33C0B1CC5E0,"GS35F4902H","M0026409F0237",786823575,"JESKELL INCORPORATED","San Jose                    ","CA",17,"USA","DC",00,"USA","$174,308.00",06/17/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2009,Prime
45C9BBBF-3F6F-3714-C836-89A2ACE924C1,"HHSF222200960185P","N/A",786823575,"JESKELL INCORPORATED","Sunnyvale                   ","CA",17,"USA","CA",17,"USA","$4,026.80",08/28/2009,Contracts,"Department of Health and Human Services","Food and Drug Administration","N/A","N/A","","",2009,Prime
9E4A42C9-6EB5-426F-AACB-424625C74DFE,"GS35F4902H","HC104707F0350",786823575,"JESKELL INCORPORATED","San Jose                    ","CA",17,"USA","VA",08,"USA","$25,113.00",03/03/2008,Contracts,"Department of Defense","Defense Information Systems Agency","Department of Defense","Defense Information Systems Agency","","",2008,Prime
D4BAC174-9617-144E-5A24-FD7D2801AA91,"DJFA2ITD053","N/A",786823575,"JESKELL INCORPORATED","San Francisco               ","CA",12,"USA","CA",12,"USA","$13,733.00",02/23/2012,Contracts,"Department of Justice","Federal Bureau of Investigation","Department of Justice","Federal Bureau of Investigation","","",2012,Prime
06A1F626-13A4-B1C3-7EE7-BFDD1CB6A881,"GS35F4902H","DOCGS35F4902HDOCSA130108CT0032",786823575,"JESKELL INCORPORATED","San Jose                    ","CA",17,"USA","DC",00,"USA","$728,115.00",08/22/2008,Contracts,"Department of Commerce","Office of the Secretary","N/A","N/A","","",2008,Prime
0CA439A5-F714-9AAF-692D-63E3D473B444,"GS35F4902H","DOCDG133W06NC1011",786823575,"JESKELL INCORPORATED","San Jose                    ","CA",17,"USA","MD",08,"USA","$41,140.00",01/10/2008,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2008,Prime
DDD9C342-4D62-5770-6B9F-1FF4441430ED,"DOCDG133W09SU0269","N/A",786823575,"JESKELL INCORPORATED","Sunnyvale                   ","CA",17,"USA","CA",17,"USA","$9,000.00",01/15/2009,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2009,Prime
4CFD04F7-35E1-BBF4-84B2-49FA09486C3E,"GS35F4902H","NSFDACS09D1448",786823575,"JESKELL INCORPORATED","San Jose                    ","CA",17,"USA","CA",17,"USA","$263,877.00",07/31/2009,Contracts,"National Science Foundation","National Science Foundation","N/A","N/A","","",2009,Prime
